feature_index,feature_name,coef,abs_coef,direction,importance_mean,importance_std
89,,,,,0.0187878787878788,0.0084414474407176
83,num__quarter,0.0017787417337202,0.0017787417337202,↑ increases RED risk,0.0175757575757576,0.0022676711434993
82,num__dow,0.0047445413149122,0.0047445413149122,↑ increases RED risk,0.0163636363636364,0.0045353422869986
91,,,,,0.0139393939393939,0.0041105030200759
87,,,,,0.0084848484848485,0.0022676711434993
69,cat__ncm_chapter_22,0.0054295543058946,0.0054295543058946,↑ increases RED risk,0.0054545454545454,0.0012121212121212
75,cat__ncm_chapter_73,-0.0033431830437972,0.0033431830437972,↓ decreases RED risk,0.0036363636363636,0.0029690784761008
26,cat__clearance_place_dispatch_AEROPORTO DE GUARULHOS,0.0015149510842593,0.0015149510842593,↑ increases RED risk,0.0036363636363636,0.0012121212121212
81,num__month,0.0045010571693989,0.0045010571693989,↑ increases RED risk,0.003030303030303,0.0131390808416235
12,,,,,0.003030303030303,0.0
13,,,,,0.0024242424242424,0.0022676711434993
18,,,,,0.0018181818181818,0.0014845392380504
77,cat__ncm_chapter_85,-0.0022881049702933,0.0022881049702933,↓ decreases RED risk,0.0012121212121212,0.0041105030200759
47,,,,,0.0012121212121212,0.0014845392380504
76,,,,,0.0012121212121212,0.0014845392380504
71,cat__ncm_chapter_30,-0.0012455521690108,0.0012455521690108,↓ decreases RED risk,0.0006060606060606,0.0012121212121212
37,cat__country_origin_code_108,-0.001058780760448,0.001058780760448,↓ decreases RED risk,0.0006060606060606,0.0012121212121212
73,cat__ncm_chapter_39,-0.0006647194195446,0.0006647194195446,↓ decreases RED risk,0.0006060606060606,0.0012121212121212
20,,,,,0.0006060606060606,0.0012121212121212
30,,,,,0.0006060606060606,0.0012121212121212
36,,,,,0.0006060606060606,0.0012121212121212
43,,,,,0.0006060606060606,0.0012121212121212
63,,,,,0.0006060606060606,0.0012121212121212
85,,,,,0.0006060606060606,0.0012121212121212
90,,,,,0.0006060606060606,0.0012121212121212
9,cat__consignee_company_size_EMPRESA DE PEQUENO PORTE,0.0018475622591417,0.0018475622591417,↑ increases RED risk,0.0,0.0
56,cat__country_origin_code_364,0.0017152267221388,0.0017152267221388,↑ increases RED risk,0.0,0.0
53,cat__country_origin_code_31,-0.0010358501819667,0.0010358501819667,↓ decreases RED risk,0.0,0.0
70,cat__ncm_chapter_29,-0.000968508610412,0.000968508610412,↓ decreases RED risk,0.0,0.0
65,cat__country_origin_code_756,0.0009195127286839,0.0009195127286839,↑ increases RED risk,0.0,0.0
19,cat__clearance_place_entry_PORTO DE SANTOS,-0.0008928892251596,0.0008928892251596,↓ decreases RED risk,0.0,0.0
28,cat__clearance_place_dispatch_AEROPORTO DO GALEÃO,-0.0008844446834294,0.0008844446834294,↓ decreases RED risk,0.0,0.0
49,cat__country_origin_code_23,-0.0008232413613198,0.0008232413613198,↓ decreases RED risk,0.0,0.0
6,cat__transport_mode_pt_RODOVIARIA,-0.0007133496711389,0.0007133496711389,↓ decreases RED risk,0.0,0.0
51,cat__country_origin_code_249,0.0007093972655954,0.0007093972655954,↑ increases RED risk,0.0,0.0
1,,,,,0.0,0.0
2,,,,,0.0,0.0
4,,,,,0.0,0.0
5,,,,,0.0,0.0
7,,,,,0.0,0.0
10,,,,,0.0,0.0
14,,,,,0.0,0.0
15,,,,,0.0,0.0
16,,,,,0.0,0.0
17,,,,,0.0,0.0
22,,,,,0.0,0.0
23,,,,,0.0,0.0
24,,,,,0.0,0.0
25,,,,,0.0,0.0
27,,,,,0.0,0.0
29,,,,,0.0,0.0
31,,,,,0.0,0.0
32,,,,,0.0,0.0
33,,,,,0.0,0.0
34,,,,,0.0,0.0
35,,,,,0.0,0.0
38,,,,,0.0,0.0
39,,,,,0.0,0.0
40,,,,,0.0,0.0
41,,,,,0.0,0.0
42,,,,,0.0,0.0
45,,,,,0.0,0.0
46,,,,,0.0,0.0
48,,,,,0.0,0.0
50,,,,,0.0,0.0
52,,,,,0.0,0.0
55,,,,,0.0,0.0
58,,,,,0.0,0.0
59,,,,,0.0,0.0
60,,,,,0.0,0.0
61,,,,,0.0,0.0
62,,,,,0.0,0.0
64,,,,,0.0,0.0
66,,,,,0.0,0.0
68,,,,,0.0,0.0
78,,,,,0.0,0.0
79,,,,,0.0,0.0
80,,,,,0.0,0.0
84,,,,,0.0,0.0
86,,,,,0.0,0.0
88,,,,,0.0,0.0
67,cat__country_origin_code_97,0.0011208612840953,0.0011208612840953,↑ increases RED risk,-0.0006060606060605,0.0012121212121211
74,cat__ncm_chapter_40,0.0011158168649021,0.0011158168649021,↑ increases RED risk,-0.0006060606060605,0.0012121212121211
21,,,,,-0.0006060606060605,0.0012121212121211
57,cat__country_origin_code_368,0.0024624053198343,0.0024624053198343,↑ increases RED risk,-0.0012121212121211,0.0014845392380503
8,cat__consignee_company_size_DEMAIS,-0.0019725146395767,0.0019725146395767,↓ decreases RED risk,-0.0012121212121211,0.0014845392380503
54,cat__country_origin_code_356,0.0016215133024351,0.0016215133024351,↑ increases RED risk,-0.0012121212121211,0.0014845392380503
72,cat__ncm_chapter_38,0.0023769239817311,0.0023769239817311,↑ increases RED risk,-0.0018181818181817,0.0014845392380503
11,cat__clearance_place_entry_AEROPORTO DE BRASÍLIA,0.0012924541934155,0.0012924541934155,↑ increases RED risk,-0.0024242424242423,0.0022676711434993
44,cat__country_origin_code_158,-0.0014024166211615,0.0014024166211615,↓ decreases RED risk,-0.0030303030303029,0.0
3,cat__transport_mode_pt_MARITIMA,-0.0093260746311495,0.0093260746311495,↓ decreases RED risk,-0.0193939393939393,0.0078085446828637
0,cat__transport_mode_pt_AEREA,0.0103181070713717,0.0103181070713717,↑ increases RED risk,-0.029090909090909,0.0056203748457549
